Name,Full name,Monomer SMILES,Repeat unit SMILES,Rescode,Parameterized
tP3H5pNO2PhV,3-Hydroxy-5-(4-nitrophenyl)valerate,O[C@H](CCC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O,[C@H](CCC1=CC=C([N+](=O)[O-])C=C1)CC(=O)O,,
hP3H6pCNPxHx,3-Hydroxy-6-(4-cyanophenoxy)hexanoate,O[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O,[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O,,
mP3H6pCNPxHx,3-Hydroxy-6-(4-cyanophenoxy)hexanoate,O[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O,[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O,,
tP3H6pCNPxHx,3-Hydroxy-6-(4-cyanophenoxy)hexanoate,O[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O,[C@H](CCCOC1=CC=C(C#N)C=C1)CC(=O)O,,
hP3H5pCNPhV,3-Hydroxy-5-(4-cyanophenyl)valerate,O[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O,[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O,,
mP3H5pCNPhV,3-Hydroxy-5-(4-cyanophenyl)valerate,O[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O,[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O,,
tP3H5pCNPhV,3-Hydroxy-5-(4-cyanophenyl)valerate,O[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O,[C@H](CCC1=CC=C(C#N)C=C1)CC(=O)O,,
hP3H5pCNPxV,3-Hydroxy-5-(4-cyanophenoxy)valerate,O[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O,[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O,,
mP3H5pCNPxV,3-Hydroxy-5-(4-cyanophenoxy)valerate,O[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O,[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O,,
tP3H5pCNPxV,3-Hydroxy-5-(4-cyanophenoxy)valerate,O[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O,[C@H](CCOC1=CC=C(C#N)C=C1)CC(=O)O,,
hP3H5TPxV,3-Hydroxy-5-thiophenoxyvalerate,O[C@@H](CCSC1=CC=CC=C1)CC(=O)O,[C@@H](CCSC1=CC=CC=C1)CC(=O)O,,
