PHA_type,component,readable_name,residue_code,smiles
3H5BzV,trimer,P3H5BzV_3,AII,O[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O
3H5BzV,head,hP3H5BzV,AIJ,O[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O
3H5BzV,mainchain,mP3H5BzV,AIK,O[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O
3H5BzV,tail,tP3H5BzV,AIL,O[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O
3H6BzHx,trimer,P3H6BzHx_3,AIM,O[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O
3H6BzHx,head,hP3H6BzHx,AIN,O[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O
3H6BzHx,mainchain,mP3H6BzHx,AIO,O[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O
3H6BzHx,tail,tP3H6BzHx,AIP,O[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O
3H7BzHp,trimer,P3H7BzHp_3,AIQ,O[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O
3H7BzHp,head,hP3H7BzHp,AIR,O[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O
3H7BzHp,mainchain,mP3H7BzHp,AIS,O[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O
3H7BzHp,tail,tP3H7BzHp,AIT,O[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O
3AP,trimer,P3AP_3,AIU,O[C@@H](N)CC(=O)O[C@@H](N)CC(=O)O[C@@H](N)CC(=O)O
3AP,head,hP3AP,AIV,O[C@@H](N)CC(=O)O
3AP,mainchain,mP3AP,AIW,O[C@@H](N)CC(=O)O
3AP,tail,tP3AP,AIX,O[C@@H](N)CC(=O)O
3BoylP,trimer,P3BoylP_3,AIY,O[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O
3BoylP,head,hP3BoylP,AIZ,O[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O
3BoylP,mainchain,mP3BoylP,AJA,O[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O
3BoylP,tail,tP3BoylP,AJB,O[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O
3OHP,trimer,P3OHP_3,AJC,OC(O)CC(=O)OC(O)CC(=O)OC(O)CC(=O)O
3OHP,head,hP3OHP,AJD,OC(O)CC(=O)O
3OHP,mainchain,mP3OHP,AJE,OC(O)CC(=O)O
3OHP,tail,tP3OHP,AJF,OC(O)CC(=O)O
3CoxyP,trimer,P3CoxyP_3,AJG,O[C@@H](C(=O)O)CC(=O)O[C@@H](C(=O)O)CC(=O)O[C@@H](C(=O)O)CC(=O)O
3CoxyP,head,hP3CoxyP,AJH,O[C@@H](C(=O)O)CC(=O)O
3CoxyP,mainchain,mP3CoxyP,AJI,O[C@@H](C(=O)O)CC(=O)O
3CoxyP,tail,tP3CoxyP,AJJ,O[C@@H](C(=O)O)CC(=O)O
3CnylB,trimer,P3CnylB_3,AJK,O[C@@H](C=O)CC(=O)O[C@@H](C=O)CC(=O)O[C@@H](C=O)CC(=O)O
3CnylB,head,hP3CnylB,AJL,O[C@@H](C=O)CC(=O)O
3CnylB,mainchain,mP3CnylB,AJM,O[C@@H](C=O)CC(=O)O
3CnylB,tail,tP3CnylB,AJN,O[C@@H](C=O)CC(=O)O
3H4MeV,trimer,P3H4MeV_3,AJO,O[C@@H](C(C)C)CC(=O)O[C@@H](C(C)C)CC(=O)O[C@@H](C(C)C)CC(=O)O
3H4MeV,head,hP3H4MeV,AJP,O[C@@H](C(C)C)CC(=O)O
3H4MeV,mainchain,mP3H4MeV,AJQ,O[C@@H](C(C)C)CC(=O)O
3H4MeV,tail,tP3H4MeV,AJR,O[C@@H](C(C)C)CC(=O)O
3H5MeHx,trimer,P3H5MeHx_3,AJS,O[C@H](CC(C)C)CC(=O)O[C@H](CC(C)C)CC(=O)O[C@H](CC(C)C)CC(=O)O
3H5MeHx,head,hP3H5MeHx,AJT,O[C@H](CC(C)C)CC(=O)O
3H5MeHx,mainchain,mP3H5MeHx,AJU,O[C@H](CC(C)C)CC(=O)O
3H5MeHx,tail,tP3H5MeHx,AJV,O[C@H](CC(C)C)CC(=O)O
3H6MeHp,trimer,P3H6MeHp_3,AJW,O[C@H](CCC(C)C)CC(=O)O[C@H](CCC(C)C)CC(=O)O[C@H](CCC(C)C)CC(=O)O
3H6MeHp,head,hP3H6MeHp,AJX,O[C@H](CCC(C)C)CC(=O)O
3H6MeHp,mainchain,mP3H6MeHp,AJY,O[C@H](CCC(C)C)CC(=O)O
3H6MeHp,tail,tP3H6MeHp,AJZ,O[C@H](CCC(C)C)CC(=O)O
3H7MeO,trimer,P3H7MeO_3,AKA,O[C@H](CCCC(C)C)CC(=O)O[C@H](CCCC(C)C)CC(=O)O[C@H](CCCC(C)C)CC(=O)O
3H7MeO,head,hP3H7MeO,AKB,O[C@H](CCCC(C)C)CC(=O)O
3H7MeO,mainchain,mP3H7MeO,AKC,O[C@H](CCCC(C)C)CC(=O)O
3H7MeO,tail,tP3H7MeO,AKD,O[C@H](CCCC(C)C)CC(=O)O
3H8MeN,trimer,P3H8MeN_3,AKE,O[C@H](CCCCC(C)C)CC(=O)O[C@H](CCCCC(C)C)CC(=O)O[C@H](CCCCC(C)C)CC(=O)O
3H8MeN,head,hP3H8MeN,AKF,O[C@H](CCCCC(C)C)CC(=O)O
3H8MeN,mainchain,mP3H8MeN,AKG,O[C@H](CCCCC(C)C)CC(=O)O
3H8MeN,tail,tP3H8MeN,AKH,O[C@H](CCCCC(C)C)CC(=O)O
3H4EtHx,trimer,P3H4EtHx_3,AKI,O[C@@H](C(CC)CC)CC(=O)O[C@@H](C(CC)CC)CC(=O)O[C@@H](C(CC)CC)CC(=O)O
3H4EtHx,head,hP3H4EtHx,AKJ,O[C@@H](C(CC)CC)CC(=O)O
3H4EtHx,mainchain,mP3H4EtHx,AKK,O[C@@H](C(CC)CC)CC(=O)O
3H4EtHx,tail,tP3H4EtHx,AKL,O[C@@H](C(CC)CC)CC(=O)O
3H5EtHp,trimer,P3H5EtHp_3,AKM,O[C@H](CC(CC)CC)CC(=O)O[C@H](CC(CC)CC)CC(=O)O[C@H](CC(CC)CC)CC(=O)O
3H5EtHp,head,hP3H5EtHp,AKN,O[C@H](CC(CC)CC)CC(=O)O
3H5EtHp,mainchain,mP3H5EtHp,AKO,O[C@H](CC(CC)CC)CC(=O)O
3H5EtHp,tail,tP3H5EtHp,AKP,O[C@H](CC(CC)CC)CC(=O)O
3H5pMePhV,trimer,P3H5pMePhV_3,AKQ,O[C@H](CCC1=CC=C(C)C=C1)CC(=O)O[C@H](CCC1=CC=C(C)C=C1)CC(=O)O[C@H](CCC1=CC=C(C)C=C1)CC(=O)O
3H5pMePhV,head,hP3H5pMePhV,AKR,O[C@H](CCC1=CC=C(C)C=C1)CC(=O)O
3H5pMePhV,mainchain,mP3H5pMePhV,AKS,O[C@H](CCC1=CC=C(C)C=C1)CC(=O)O
3H5pMePhV,tail,tP3H5pMePhV,AKT,O[C@H](CCC1=CC=C(C)C=C1)CC(=O)O
3H5mMePhV,trimer,P3H5mMePhV_3,AKU,O[C@H](CCC1=CC(C)=CC=C1)CC(=O)O[C@H](CCC1=CC(C)=CC=C1)CC(=O)O[C@H](CCC1=CC(C)=CC=C1)CC(=O)O
3H5mMePhV,head,hP3H5mMePhV,AKV,O[C@H](CCC1=CC(C)=CC=C1)CC(=O)O
3H5mMePhV,mainchain,mP3H5mMePhV,AKW,O[C@H](CCC1=CC(C)=CC=C1)CC(=O)O
3H5mMePhV,tail,tP3H5mMePhV,AKX,O[C@H](CCC1=CC(C)=CC=C1)CC(=O)O
3H6pMePhHx,trimer,P3H6pMePhHx_3,AKY,O[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O
3H6pMePhHx,head,hP3H6pMePhHx,AKZ,O[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O
3H6pMePhHx,mainchain,mP3H6pMePhHx,ALB,O[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O
3H6pMePhHx,tail,tP3H6pMePhHx,ALC,O[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O
3H6mMePhHx,trimer,P3H6mMePhHx_3,ALD,O[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O
3H6mMePhHx,head,hP3H6mMePhHx,ALE,O[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O
3H6mMePhHx,mainchain,mP3H6mMePhHx,ALF,O[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O
3H6mMePhHx,tail,tP3H6mMePhHx,ALG,O[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O
3H5pBrPhV,trimer,P3H5pBrPhV_3,ALH,O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O
3H5pBrPhV,head,hP3H5pBrPhV,ALI,O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O
3H5pBrPhV,mainchain,mP3H5pBrPhV,ALJ,O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O
3H5pBrPhV,tail,tP3H5pBrPhV,ALK,O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O
3H5pBrPxV,trimer,P3H5pBrPxV_3,ALL,O[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O
3H5pBrPxV,head,hP3H5pBrPxV,ALM,O[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O
3H5pBrPxV,mainchain,mP3H5pBrPxV,ALN,O[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O
3H5pBrPxV,tail,tP3H5pBrPxV,ALO,O[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O
3H5pCLPxV,trimer,P3H5pCLPxV_3,ALP,O[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O
3H5pCLPxV,head,hP3H5pCLPxV,ALQ,O[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O
3H5pCLPxV,mainchain,mP3H5pCLPxV,ALR,O[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O
3H5pCLPxV,tail,tP3H5pCLPxV,ALS,O[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O
3H6pCLPxHx,trimer,P3H6pCLPxHx_3,ALT,O[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O
3H6pCLPxHx,head,hP3H6pCLPxHx,ALU,O[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O
3H6pCLPxHx,mainchain,mP3H6pCLPxHx,ALV,O[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O
3H6pCLPxHx,tail,tP3H6pCLPxHx,ALW,O[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O
3H5pCLPhV,trimer,P3H5pCLPhV_3,ALX,O[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O
3H5pCLPhV,head,hP3H5pCLPhV,ALY,O[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O
3H5pCLPhV,mainchain,mP3H5pCLPhV,ALZ,O[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O
3H5pCLPhV,tail,tP3H5pCLPhV,AMA,O[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O
5HV,trimer,P5HV_3,AMB,OCCCCC(=O)OCCCCC(=O)OCCCCC(=O)O
5HV,head,hP5HV,AMC,OCCCCC(=O)O
5HV,mainchain,mP5HV,AMD,OCCCCC(=O)O
5HV,tail,tP5HV,AME,OCCCCC(=O)O
6HHx,trimer,P6HHx_3,AMF,OCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)O
6HHx,head,hP6HHx,AMG,OCCCCCC(=O)O
6HHx,mainchain,mP6HHx,AMH,OCCCCCC(=O)O
6HHx,tail,tP6HHx,AMI,OCCCCCC(=O)O
7HHp,trimer,P7HHp_3,AMJ,OCCCCCCC(=O)OCCCCCCC(=O)OCCCCCCC(=O)O
7HHp,head,hP7HHp,AMK,OCCCCCCC(=O)O
7HHp,mainchain,mP7HHp,AML,OCCCCCCC(=O)O
7HHp,tail,tP7HHp,AMM,OCCCCCCC(=O)O
