PHA_type,component,readable_name,residue_code,smiles
3HHD,mainchain,mP3HHD,ACG,O[C@H](CCCCCCCCCCCCC)CC(=O)O
3HHD,tail,tP3HHD,ACH,O[C@H](CCCCCCCCCCCCC)CC(=O)O
3HOD,trimer,P3HOD_3,ACI,O[C@H](CCCCCCCCCCCCCCC)CC(=O)O[C@H](CCCCCCCCCCCCCCC)CC(=O)O[C@H](CCCCCCCCCCCCCCC)CC(=O)O
3HOD,head,hP3HOD,ACJ,O[C@H](CCCCCCCCCCCCCCC)CC(=O)O
3HOD,mainchain,mP3HOD,ACK,O[C@H](CCCCCCCCCCCCCCC)CC(=O)O
3HOD,tail,tP3HOD,ACL,O[C@H](CCCCCCCCCCCCCCC)CC(=O)O
3H5HxE,trimer,P3H5HxE_3,ACM,O[C@H](CC=C)CC(=O)O[C@H](CC=C)CC(=O)O[C@H](CC=C)CC(=O)O
3H5HxE,head,hP3H5HxE,ACN,O[C@H](CC=C)CC(=O)O
3H5HxE,mainchain,mP3H5HxE,ACO,O[C@H](CC=C)CC(=O)O
3H5HxE,tail,tP3H5HxE,ACP,O[C@H](CC=C)CC(=O)O
3H6HpE,trimer,P3H6HpE_3,ACQ,O[C@H](CCC=C)CC(=O)O[C@H](CCC=C)CC(=O)O[C@H](CCC=C)CC(=O)O
3H6HpE,head,hP3H6HpE,ACR,O[C@H](CCC=C)CC(=O)O
3H6HpE,mainchain,mP3H6HpE,ACS,O[C@H](CCC=C)CC(=O)O
3H6HpE,tail,tP3H6HpE,ACT,O[C@H](CCC=C)CC(=O)O
3H7OE,trimer,P3H7OE_3,ACU,O[C@H](CCCC=C)CC(=O)O[C@H](CCCC=C)CC(=O)O[C@H](CCCC=C)CC(=O)O
3H7OE,head,hP3H7OE,ACV,O[C@H](CCCC=C)CC(=O)O
3H7OE,mainchain,mP3H7OE,ACW,O[C@H](CCCC=C)CC(=O)O
3H7OE,tail,tP3H7OE,ACX,O[C@H](CCCC=C)CC(=O)O
